title,medium,culture,department,region
Africa from a set of The Four Continents,"Wool, silk (19-21 warps per inch, 8 per cm.)",none,European Sculpture and Decorative Arts,none
Asia from a set of The Four Continents,"Wool, silk (19-21 warps per inch, 8 per cm.)",none,European Sculpture and Decorative Arts,none
Saint Martin Announcing to His Parents That He Will Become a Christian,"Linen plain weave underlaid with linen plain weave and embroidered with silk and gilt-metal-strip-wrapped silk in split and stem stitches, laid work, and couching, including or nué",Flemish,Robert Lehman Collection,none
Length of bizarre silk,"Silk satin, brocaded, silk and metal-wrapped thread",none,European Sculpture and Decorative Arts,none
Pair of side curtains for a bed,"Linen, embroidered with wool and silk",none,European Sculpture and Decorative Arts,none
Panel for a skirt or petticoat,Silk embroidered on linen,none,European Sculpture and Decorative Arts,none
Commemorative Panel for Oba,Cotton,Edo peoples,The Michael C. Rockefeller Wing,none
America from a set of The Four Continents,"Wool, silk (19-21 warps per inch, 8 per cm.)",none,European Sculpture and Decorative Arts,none
Hanging with Polychrome Columns,"Linen, wool; tapestry weave",none,Islamic Art,none
Sampler,"Linen worked with silk and linen thread: reticella, double running, eye, cross, satin, and Gobelin stitches",none,European Sculpture and Decorative Arts,none
Napkin or Hand Towel,"Linen, silk; plain weave, embroidered",none,Islamic Art,none
Man’s shoulder or hip cloth (hinggi),"Cotton, natural dyes",Sumba Island artist,The Michael C. Rockefeller Wing,"Sumba Island, East Nusa Tenggara"
"The Bible, The Book of Psalms","Satin worked with silk and metal thread, spangles; knot, tent, and couching stitches; silver metal thread edging",none,European Sculpture and Decorative Arts,none
Saint Ursula and Her Maidens,Tempera and gold on wood,none,European Paintings,none
Man’s shoulder or hip cloth (hinggi),"Cotton, natural dyes",Sumba Island artist,The Michael C. Rockefeller Wing,"Sumba Island, East Nusa Tenggara"
"Pair of Four-Barreled Turnover Percussion Pistols of Henry Pelham Fiennes Pelham-Clinton, 4th Duke of Newcastle-under-Lyne (1785–1851), with Pair of Box-Lock Turn-Off Pocket Pistols, Case, and Accessories","Turnover pistols: steel, wood (walnut), gold, silver; pocket pistols: steel, wood (walnut); mallet: wood (walnut, rosewood, ebony), leather; ramrod: wood (ebony), brass; cleaning rod: wood (walnut), brass, steel; cleaning rod tip: brass; powder flask: copper, gold, brass, steel; bullet mold: steel; nipple wrench: wood (walnut), steel, brass; screwdriver: horn, steel, brass; socket wrench: steel; patch box: ivory; case: wood (mahogany), brass, ivory, textile, paper","British, London",Arms and Armor,none
none,none,none,none,none
Book cover,Silk and metal thread on canvas,none,European Sculpture and Decorative Arts,none
Carpet with a Compartment Design,"Silk (warp and weft), wool (pile); asymmetrically knotted pile",none,Islamic Art,none
Reed Mat,"Hemp (warp), straw (weft); weft faced plain weave, brocaded",none,Islamic Art,none
Man’s shoulder or hip cloth (hinggi) with deer and serpent motif,"Cotton, dyes",Sumba Island artist,The Michael C. Rockefeller Wing,"Sumba Island, East Nusa Tenggara"
Prestige panel,Raffia palm fiber,Bushong-Kuba peoples,The Michael C. Rockefeller Wing,none
Saint Martin Offering the Wine Cup to the Priest,"Linen plain weave underlaid with linen plain weave and embroidered silk and gilt-metal-strip-wrapped silk in single satin, split, and stem stitches, laid work, and couching, including or nué",Flemish,Robert Lehman Collection,none
Bwami society mukuba wa bifungo headdress,"Plant fiber, glass buttons, glass? plastic?",Lega peoples,The Michael C. Rockefeller Wing,eastern region
Lau Pahudu (Woman’s skirt),Cotton,"Sumba Island, Nusa Tenggara",The Michael C. Rockefeller Wing,Lesser Sunda Islands
Bwami society headdress,"Plant fiber, two‑chambered seed pods, warthog tusks, cowrie shells",Lega peoples,The Michael C. Rockefeller Wing,eastern region
Bwami society headdress,"Plant fiber, cowrie shells, white glass buttons, boar tusks",Lega peoples,The Michael C. Rockefeller Wing,eastern region
Saint Martin Brings a Dead Man to Life,"Linen plain weave underlaid with linen plain weave and embroidered with silk and gilt-metal-strip-wrapped silk in split and stem stitches, laid work, and couching, including or nué",Flemish,Robert Lehman Collection,none
Sword (Shamshir) with Scabbard and Belt,"Steel, gold, ivory, wood, enamel, velvet, silver, textile","hilt, scabbard, and belt, Indian; blade, northern India",Arms and Armor,none
a-Mantsho-ña-Tshol (master of medicine) headdress,"Wood (Pterocarpus erinaceus), pigment",Baga peoples,The Michael C. Rockefeller Wing,none
Royal standard,Embroidered and embossed silk with glass beads and sequins; wooden staff sheathed in silver,"India, Rajasthan, probably Mewar",Asian Art,none
a-Mantsho-ña-Tshol (master of medicine) headdress,"Wood (Vitex doniana), pigment",Baga,The Michael C. Rockefeller Wing,none
"François de Jullienne (1722–1754) and Marie Elisabeth de Jullienne (Marie Elisabeth de Séré de Rieux, 1724–1795)","Pastel, black chalk, watercolor, and traces of black chalk underdrawing on four joined sheets of handmade blue laid paper, mounted on canvas and adhered to a keyed stretcher",none,European Paintings,none
A Stallion,"Ink, opaque watercolor, and gold on paper",none,Islamic Art,none
Commemorative Panel for Oba,Cotton,Edo peoples,The Michael C. Rockefeller Wing,none
Commemorative Panel for Oba,Cotton,Edo peoples,The Michael C. Rockefeller Wing,none
Commemorative Panel for Oba,Cotton,Edo peoples,The Michael C. Rockefeller Wing,none
Commemorative Panel for Oba,Cotton,Edo peoples,The Michael C. Rockefeller Wing,none
Panel from a Mosque Frieze Bearing the Name of a Sultan,"Terracotta; carved, painted",none,Islamic Art,none
Panel from a Mosque Frieze Bearing the Name of a Sultan,"Terracotta; carved, painted",none,Islamic Art,none
Panel from a Mosque Frieze Bearing the Name of a Sultan,"Terracotta; carved, painted",none,Islamic Art,none
Panel from a Mosque Frieze Bearing the Name of a Sultan,"Terracotta; carved, painted",none,Islamic Art,none
Secretary,"Oak veneered with tulipwood, amaranth, holly, ebonized holly, and other marquetry wood; brass; green-colored metal; gilt-bronze mounts; marble top.  Soft paste porcelain plaques from the Sèvres Manufactory.",none,Robert Lehman Collection,none
Table clock with calendar,"Case: silver, partly enameled gold, hardstones, rock crystal, amethysts, and diamonds; movement: brass and steel",none,European Sculpture and Decorative Arts,none
Venus and Cupid,Oil on canvas,none,European Paintings,none
Neckless jar with complex scene,"Ceramic, post-fire paint",Paracas,The Michael C. Rockefeller Wing,"Ica River, South Coast"
Textile pattern with striped designs,Lithograph,none,Drawings and Prints,none
Standing Figure with Jeweled Headdress,"Gypsum plaster; modeled, carved, polychrome-painted, gilded",none,Islamic Art,none
Textile patterns with semi-abstract designs,Lithograph,none,Drawings and Prints,none
Textile patterns with semi-abstract designs,Lithograph,none,Drawings and Prints,none
Textile patterns with semi-abstract designs,Lithograph,none,Drawings and Prints,none
Textile patterns with semi-abstract designs,Lithograph,none,Drawings and Prints,none
Textile patterns with semi-abstract designs,Lithograph,none,Drawings and Prints,none
Textile patterns with semi-abstract designs,Lithograph,none,Drawings and Prints,none
Textile patterns with semi-abstract designs,Lithograph,none,Drawings and Prints,none
Textile patterns with semi-abstract designs,Lithograph,none,Drawings and Prints,none
Textile patterns with semi-abstract designs,Lithograph,none,Drawings and Prints,none
Textile patterns with semi-abstract designs,Lithograph,none,Drawings and Prints,none
Head of a female or goddess wearing a necklace,"Ivory, gold",Assyrian,Ancient West Asian Art,Mesopotamia
Nkiba or butti ancestor figure,"Wood (ngasu or mulong), cloth, organic matter","Teke peoples, Fumu group or Kongo peoples, Bembe group",The Michael C. Rockefeller Wing,Pool Department
Horn Player,"Brass, iron",Edo,The Michael C. Rockefeller Wing,none
Plaque with Warrior and Fish,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Altar Tusk,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Plaque Fragment with Mudfish,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Altar bell with a mudfish-legged ọ́bà,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Plaque with Court Official Holding a Protective Rattle,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Plaque with Ọ́bà (King) or Chief,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Plaque with Court Official Holding a Protective Amulet,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Altar Tusk,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Plaque with Warrior and Mudfish,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Plaque with Ọ́lọ̀tọ̀n priest,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Plaque with Two Portuguese Merchants,Brass,Edo,The Michael C. Rockefeller Wing,none
Plaque Fragment with Warrior Chief,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Plaque Fragment with Warrior and Attendant,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Leopard,"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,"Igun-Eronmwen guild, Court of Benin"
Hip ornament with Portuguese head,"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,none
Plaque with Two Fluted Gourds,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Fragment of a leopard head,"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,none
Ùhúnmwèlaò (head of an ọ́bà),"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,none
Plaque with Two Mudfish,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Plaque with Ìyàsẹ́ (Royal Commander) and Attendant,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Virgin and Child with Saints Catherine of Alexandria and Barbara,Oil on wood,none,European Paintings,none
Makpo royal scepter with pineapple,"Silver-copper alloy, wood","Fon peoples, Danhomè Kingdom",The Michael C. Rockefeller Wing,none
Textile patterns with geometric and striped designs,Lithograph,none,Drawings and Prints,none
Women on a Bridge Tossing Fans into a River,"Six-panel folding screen; ink, color, gold, and gold leaf on paper",Japan,Asian Art,none
Textile (?) designs with semi-abstract motifs,Lithograph,none,Drawings and Prints,none
Textile designs with stylized flowers and leaves,Lithograph,none,Drawings and Prints,none
Textile designs with stylized flowers and leaves,Lithograph,none,Drawings and Prints,none
A Knight of Alcántara or Calatrava,Oil on canvas,none,European Paintings,none
Textile designs with stylized flowers and scrolling garlands,Lithograph,none,Drawings and Prints,none
Textile (?) designs with semi-abstract floral motifs,Lithograph,none,Drawings and Prints,none
Textile (?) designs with stylized flowers and leaves,Lithograph,none,Drawings and Prints,none
Livre de Moresques,Woodcut,none,Drawings and Prints,none
[Textile Factory Interior],Gelatin silver print,none,Photographs,none
Cherry Blossom Viewing at Itsukushima and Yoshino,"Pair of six-panel folding screens; ink, color, and gold leaf on paper",Japan,Asian Art,none
Textile (?) designs with exotic flowers and scrolling motifs,Lithograph,none,Drawings and Prints,none
Textile designs with garlands of stylized flowers and leaves,Lithograph,none,Drawings and Prints,none
Textile (?) designs with bundles of stylized exotic flowers,Lithograph,none,Drawings and Prints,none
Deity figure,Pyroxene jadeite,Maya,The Michael C. Rockefeller Wing,none
Textile (?) designs with abstract patterns in black and white,Lithograph,none,Drawings and Prints,none
Textile (?) designs with thin garlands of flowers and leaves,Lithograph,none,Drawings and Prints,none
Panel from a Mosque Frieze Bearing the Name of a Sultan,"Terracotta; carved, painted",none,Islamic Art,none
Double-crocodile pendant,"Gold (cast), greenstone",Coclé (Macaracas),The Michael C. Rockefeller Wing,none
The Brioche,Oil on canvas,none,European Paintings,none
Armchair,Gilded mountain ash; brass mounts and casters; modern upholstery,none,European Sculpture and Decorative Arts,none
Madonna and Child,Oil on wood,none,European Paintings,none
"Ȯkyeame poma (royal spokesperson's staff) with stool, chain, and crossed swords","Wood, gold foil",Asante,The Michael C. Rockefeller Wing,none
Suit,"wool, silk",British,Costume Institute,none
none,none,none,none,none
"Textile design with large, exotic flowers and leaves, after 16th-century Indian curtain",Lithograph,none,Drawings and Prints,none
Bottle with Incised Decoration,Stonepaste; incised under transparent glaze (Gombroon ware),none,Islamic Art,none
Bowl with Incised Lotus Flowers,Stonepaste; incised under transparent glaze (Gombroon ware),none,Islamic Art,none
"Livre de Moresques, page 10 (recto)",Woodcut,none,Drawings and Prints,none
"Livre de Moresques, page 2 (recto)",Woodcut,none,Drawings and Prints,none
"Livre de Moresques, page 9 (verso)",Woodcut,none,Drawings and Prints,none
"Livre de Moresques, page 15 (verso)",Woodcut,none,Drawings and Prints,none
