title,medium,culture,department,region
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Portuguese Horseman,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Figure: Court Attendant with Ceremonial Sword,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Lidded Box: Portuguese Face,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Plaque: Snake,Bronze,Edo peoples,The Michael C. Rockefeller Wing,none
Young Lady in 1866,Oil on canvas,none,European Paintings,none
Darbar of Alivardi Khan at Murshidabad's Court,Pigments and gold on paper,none,Islamic Art,none
Boating,Oil on canvas,none,European Paintings,none
Madonna and Child Enthroned with Saints,"Tempera on wood, gold ground",none,European Paintings,none
Begging Bowl,"Silver; fire-gilded with applied silver chain decoration, carnelians and turquoises, and tassels.",none,Islamic Art,Central Asia
Fragmentary Relief,Stone,Maya,The Michael C. Rockefeller Wing,Mesoamerica
Neües Danβerlein Büechel: Winter Und Sommer Gaertlein,Letterpress and etching,none,Drawings and Prints,none
Abraham,"Tempera on wood, gold ground",none,European Paintings,none
Madonna and Child with Angels,"Tempera on wood, gold ground",none,European Paintings,none
Plaque: Court Official,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Plaque: Junior Court Official,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Plaque: Court Official with Magical Staff,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Stool: Oba with Mudfish Legs (Agba),"Wood, metal tacks",Edo peoples,The Michael C. Rockefeller Wing,none
Bracelet: Three Heads,"Brass, copper alloy",Edo peoples,The Michael C. Rockefeller Wing,none
Bracelet: Crocodile Heads,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Box: Man with Goat and Crocodile,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Chair,"Wood, metal tacks, glass",Edo peoples,The Michael C. Rockefeller Wing,none
Rattle Staff: Three Figures (Ukhurhe),"Wood, pigment, cowries, brass bell",Edo peoples,The Michael C. Rockefeller Wing,none
Ritual Object,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Plaque: Warrior Chief,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Plaque: Titleholder with Calabash Rattle,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Figure: Leopard Head,"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,none
Box: Oba Ozolua and Unidentified Oba,"Wood, sheet metal",Edo peoples,The Michael C. Rockefeller Wing,none
Box with the depiction of a European in a boat,Wood,Edo peoples,The Michael C. Rockefeller Wing,none
Figure: Court Attendant with Ceremonial Sword,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Pendant: Ram Head,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Bracelet: Crocodile and Leopard Heads,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Altar Bell: Figure with Sword,"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,none
Staff Fragment: Seated Oba,"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,none
none,none,none,none,none
none,none,none,none,none
Ceremonial Sword and Sheath,"Iron, ivory, silk, wool, cotton, yarn, leather, metal tacks, staples",Edo peoples,The Michael C. Rockefeller Wing,none
Rattle Staff: Hand Holding Mudfish (Ukhurhe),Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Staff: Seated Oba,"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,none
Vessel: Ram's Head,Wood,Edo peoples,The Michael C. Rockefeller Wing,none
Bell,"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,none
Medicine Vessel: Two Figures,"Brass, hide, feathers, sacrifcial materials",Edo peoples,The Michael C. Rockefeller Wing,none
Medicine Vessel: Figure,"Brass, stone bead, cord",Edo peoples,The Michael C. Rockefeller Wing,none
Lidded Vessel: Leopard and Prey,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Divination Vessel,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Coconut Shell Vessel,Coconut shell,Edo peoples,The Michael C. Rockefeller Wing,none
Vessel (?),Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Manilla,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Rattle Staff (Ukhurhe),"Wood, cloth, sacrificial materials",Edo peoples,The Michael C. Rockefeller Wing,none
Sword,Iron,Edo peoples,The Michael C. Rockefeller Wing,none
Head,Brass (cast),Edo peoples,The Michael C. Rockefeller Wing,none
Figure: Court Official with Cross Pendant,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Figure Fragment: Head,"Terracotta, metal",Edo peoples,The Michael C. Rockefeller Wing,none
Altar Ring,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Designs for textiles (?) with stylized floral motifs,Lithograph,none,Drawings and Prints,none
Saint Mary Magdalen Holding a Crucifix; (reverse) The Flagellation,"Tempera on canvas, gold ground; photographic facsimile (Christ’s face on reverse)",none,European Paintings,none
Figure: Male Head,"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,none
"""A Night-time Gathering"", Folio from the Davis Album","Ink, opaque watercolor, and gold on paper",none,Islamic Art,none
Saint Catherine of Alexandria,"Tempera on wood, gold ground",none,European Paintings,none
Designs for textiles (?) with semi-abstract flowers and leaves,Lithograph,none,Drawings and Prints,none
Designs for textiles with stylized flowers and scrolling leaves,Lithograph,none,Drawings and Prints,none
Design for a shawl with paisley leaves and orientalist flowers,Lithograph,none,Drawings and Prints,none
Design for a shawl with paisley leaves and exotic flowers,Lithograph,none,Drawings and Prints,none
Design for a shawl with paisley leaves and exotic Indian flowers,Lithograph,none,Drawings and Prints,none
"Kunst und Fleiss-übende Nadel-Ergössungen oder nru-erfundenesNeh-und Stick-Buch, vols. 1-3",engraving,none,Drawings and Prints,none
Saint Reparata Tortured with Red-Hot Irons,"Tempera on wood, gold ground (tooled pattern added possibly in the late nineteenth century)",none,European Paintings,none
Tupu (pin),Copper or alloy of copper,Inca,The Michael C. Rockefeller Wing,none
The Man of Sorrows,Tempera and gold on wood,none,European Paintings,none
"""Jahangir and His Vizier, I'timad al-Daula"", Folio from the Shah Jahan Album","Ink, opaque watercolor, and gold on paper",none,Islamic Art,none
Ornamental designs with stylized flowers and leaves,Lithograph,none,Drawings and Prints,none
"Designs for textiles (?) with scrolling motifs, geometric patterns and semi-abstract patterns",Lithograph,none,Drawings and Prints,none
Design for a Kashmir Shawl from the 1844 Industrial Exposition,Lithograph,none,Drawings and Prints,none
Design for a shawl with scrolling paisley leaves and Indian flowers,Lithograph,none,Drawings and Prints,none
Design for a shawl with bundles of exotic Indian flowers,Lithograph,none,Drawings and Prints,none
"Design for a shawl with paisley leaves, exotic flowers, and garlands of flowers and leaves",Lithograph,none,Drawings and Prints,none
Two designs for shawls with paisley leaves and exotic Indian flowers,Lithograph,none,Drawings and Prints,none
"Box with Scenes from the Romance, “The Chatelaine de Vergy”","Elephant ivory, modern wood core",French,Medieval Art,none
"Marie Rinteau, called Mademoiselle de Verrières",Oil on canvas,none,European Paintings,none
Bracelet,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Bracelet,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Designs for textiles (?) with semi-abstract and floral motifs,Lithograph,none,Drawings and Prints,none
Box: Oba Ozolua and Unidentified Oba,Wood,Edo peoples,The Michael C. Rockefeller Wing,none
Ornamental designs with semi-abstract patterns and thin bundles of flowers and leaves,Lithograph,none,Drawings and Prints,none
Ornamental designs with semi-abstract patterns and thin bundles of flowers and leaves,Lithograph,none,Drawings and Prints,none
Ornamental designs with semi-abstract patterns and thin bundles of flowers and leaves,Lithograph,none,Drawings and Prints,none
Ornamental designs with semi-abstract patterns and thin bundles of flowers and leaves,Lithograph,none,Drawings and Prints,none
Ornamental designs with semi-abstract patterns and thin bundles of flowers and leaves,Lithograph,none,Drawings and Prints,none
Ornamental designs with semi-abstract patterns and thin bundles of flowers and leaves,Lithograph,none,Drawings and Prints,none
