title,medium,culture,department,region
Man’s shoulder or hip cloth (hinggi),"Cotton, natural dyes",Sumba Island artist,The Michael C. Rockefeller Wing,"Sumba Island, East Nusa Tenggara"
"The Bible, The Book of Psalms","Satin worked with silk and metal thread, spangles; knot, tent, and couching stitches; silver metal thread edging",none,European Sculpture and Decorative Arts,none
Man’s shoulder or hip cloth (hinggi),"Cotton, natural dyes",Sumba Island artist,The Michael C. Rockefeller Wing,"Sumba Island, East Nusa Tenggara"
Book cover,Silk and metal thread on canvas,none,European Sculpture and Decorative Arts,none
Carpet with a Compartment Design,"Silk (warp and weft), wool (pile); asymmetrically knotted pile",none,Islamic Art,none
Reed Mat,"Hemp (warp), straw (weft); weft faced plain weave, brocaded",none,Islamic Art,none
Man’s shoulder or hip cloth (hinggi) with deer and serpent motif,"Cotton, dyes",Sumba Island artist,The Michael C. Rockefeller Wing,"Sumba Island, East Nusa Tenggara"
Prestige panel,Raffia palm fiber,Bushong-Kuba peoples,The Michael C. Rockefeller Wing,none
Saint Martin Offering the Wine Cup to the Priest,"Linen plain weave underlaid with linen plain weave and embroidered silk and gilt-metal-strip-wrapped silk in single satin, split, and stem stitches, laid work, and couching, including or nué",Flemish,Robert Lehman Collection,none
Bwami society mukuba wa bifungo headdress,"Plant fiber, glass buttons, glass? plastic?",Lega peoples,The Michael C. Rockefeller Wing,eastern region
Lau Pahudu (Woman’s skirt),Cotton,"Sumba Island, Nusa Tenggara",The Michael C. Rockefeller Wing,Lesser Sunda Islands
Bwami society headdress,"Plant fiber, two‑chambered seed pods, warthog tusks, cowrie shells",Lega peoples,The Michael C. Rockefeller Wing,eastern region
Bwami society headdress,"Plant fiber, cowrie shells, white glass buttons, boar tusks",Lega peoples,The Michael C. Rockefeller Wing,eastern region
Saint Martin Brings a Dead Man to Life,"Linen plain weave underlaid with linen plain weave and embroidered with silk and gilt-metal-strip-wrapped silk in split and stem stitches, laid work, and couching, including or nué",Flemish,Robert Lehman Collection,none
